t,u,v,r,num_contours,threshold
15699.47600364685,331,357,219.19,179,147.0
15732.838153839111,332,357,218.43,179,147.0
15765.900135040283,332,359,217.33,216,147.0
15798.136234283447,330,355,220.75,201,148.0
15829.395055770874,332,357,218.73,181,147.0
15863.018035888672,331,357,218.5,175,147.0
15894.98496055603,330,354,221.98,165,148.0
15930.957078933716,332,357,219.13,200,147.0
15964.328050613403,331,357,218.97,181,147.0
15996.989011764526,332,357,218.89,177,147.0
16029.998064041138,331,358,218.6,199,147.0
16062.633037567139,332,357,218.62,170,147.0
16095.144987106323,333,356,219.28,221,147.0
16129.101276397705,332,357,219.07,193,147.0
16162.194967269897,332,355,219.96,159,147.0
16196.28119468689,332,356,219.76,186,147.0
16228.046178817749,331,356,219.61,172,147.0
16261.614084243774,332,356,219.4,163,147.0
16294.482946395874,331,358,218.36,219,147.0
16326.887369155884,331,357,219.08,185,147.0
16359.138250350952,333,357,218.97,192,147.0
16394.169092178345,333,356,219.42,198,147.0
16425.21905899048,332,356,219.83,180,147.0
16459.22017097473,332,356,219.73,207,147.0
16491.56928062439,331,356,219.88,177,147.0
16523.320198059082,332,356,219.64,156,147.0
16556.70404434204,332,356,219.79,189,147.0
16589.970350265503,332,356,219.36,194,147.0
16622.870206832886,333,355,220.08,188,147.0
16656.17823600769,332,356,220.11,202,147.0
16689.56422805786,332,355,220.5,171,147.0
16722.601175308228,333,355,220.77,191,147.0
16755.747079849243,332,356,219.77,189,147.0
16789.838075637817,332,356,220.06,185,147.0
16821.482181549072,332,356,219.58,166,147.0
16854.835987091064,332,356,219.55,193,147.0
16888.16809654236,333,355,219.99,162,147.0
16920.690298080444,332,356,220.37,209,147.0
16955.22427558899,332,355,220.32,213,147.0
16989.098072052002,333,354,221.41,204,147.0
17018.42999458313,332,356,220.3,158,147.0
17054.19111251831,331,355,220.58,182,147.0
17085.224151611328,332,356,220.01,182,147.0
17119.53115463257,331,357,219.45,182,147.0
17152.97532081604,332,355,220.29,173,147.0
17187.709093093872,333,355,220.77,210,147.0
17217.12899208069,332,355,220.52,158,147.0
17250.4620552063,333,354,220.95,174,147.0
